 sex row_number liters_drunk age drink check_number
0 ж 79.0 2 66 Cola 3116
1 м 23.0 0 10 Fanta 8118
2 M 92.0 0 18 Fanta 2264
3 ж 52.0 5 67 Beerbeer 7640
4 ж 57.0 2 27 Beerbeer 8764
5 м 15.0 1 44 Bugbeer 6235
6 Ж 49.0 0 11 Cola 185
7 м 33.0 5 64 Fanta 2970
8 Ж 5.0 0 39 Water 6494
9 M 48.0 1 64 Water 9971
10 ж 78.0 99602005 51 Water 3592
11 м 32.0 2 35 "Strong beer" 2021
12 Ж 12.0 3 59 Cola 5675
13 ж 16.0 5 77 Bugbeer 1637
14 ж 46.0 74068055 37 "Strong beer" 7830
15 ж 4.0 3 18 Cola 2174
16 - 1.0 4 70 "Strong beer" 8641
17 - 18.0 4 16 Cola 9424
18 - 83.0 2 25 Fanta 3405
19 M  -6 15 Cola 2468
20 ж 40.0 3 55 Water 8793
21 "Не указан" 67.0 1 44 "Strong beer" 6158
22 м 9.0 4 47 Bugbeer 6079
23 M 8.0 4 51 Fanta 839
24 Ж 95.0 1 71 "Strong beer" 1634
25 - 65.0 2 33 Fanta 4953
26 м 70.0 44068553 31 Fanta 7091
27 - 19.0 4 30 Beerbeer 1405
28 м 52.0 3 38 Fanta 6992
29 - 97.0 4 56 Bugbeer 6773
30 "Не указан" 65.0 1 17 Fanta 2749
31 - 10.0 1 74 Fanta 6254
32 ж 44.0 4 42 "Strong beer" 3258
33 Ж 6.0 5 63 Water 6664
34 - 88.0 5 52 Bugbeer 4708
35 - 6.0 4 54 Cola 7737
36 ж 86.0 0 55 Fanta 2104
37 м 40.0 4 46 Water 1784
38 ж 57.0 3 22 Cola 2744
39 Ж 82.0 5 10 Water 4306
40 M 4.0 2 18 Water 814
41 м 67.0 0 40 Fanta 2285
42 м 52.0 3 50 Beerbeer 3395
43 ж 33.0 2 60 Fanta 8192
44 ж 48.0 2 53 Cola 4185
45 - 85.0 4 69 "Strong beer" 7741
46 м 29.0 1 49 Cola 2884
47 ж 34.0 0 12 Cola 2506
48 - 21.0 4 13 Water 3491
49 M  5 24 Water 9165
50 Ж 96.0 4 70 Fanta 1639
51 "Не указан" 100.0 0 37 "Strong beer" 9393
52 "Не указан" 90.0 5 80 "Strong beer" 4095
53 ж 50.0 4 48 Fanta 8911
54 Ж 45.0 -3 79 Beerbeer 3519
55 м 42.0 5 60 Beerbeer 1994
56 M 29.0 5 56 Cola 1522
57 M 20.0 5 72 Fanta 4966
58 "Не указан" 59.0 4 76 Cola 6122
59 "Не указан" 93.0 50044606 13 Fanta 9170
